	Косинусная мера	Идентификатор обращения	Ответ ЧАВО	Сообщение
44872	0.7831017846462207	00000000-0001-0000-0018-000110364895	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	"Как правило, денежное вознаграждение зачисляется на карту ""МИР"" в течение 3 рабочих дней с момента проведения оплаты покупки по счету."
44879	0.7220507790006178	00000000-0001-0000-0018-000110365139	Возможно, Вы сняли пистолет и начали заправку раньше, чем ваш заказ был подтвержден на АЗС. К сожалению, такой заказ можно оплатить только на кассе. Зарезервированные в мобильном приложении средства будут разблокированы на Вашем счете в течение суток. Если в течение суток этого не произошло, информацию необходимо уточнить в банке, выпустивший Вашу банковскую карту.	Зарезервированные в мобильном приложении средства будут разблокированы на Вашем счете в течение суток. Если в течение суток этого не произошло, информацию необходимо уточнить в банке, выпустивший Вашу банковскую карту.
44906	0.8390564996672131	00000000-0001-0000-0018-000110365508	Если Вы используете две карты лояльности, теперь для удобства Вы можете добавить в Ваш аккаунт вторую бонусную карту, при этом обе карты должны быть привязаны к одному и тому же номеру телефона.	Вы можете добавить в Ваш аккаунт вторую бонусную карту, при этом обе карты должны быть привязаны к одному и тому же номеру телефона.
44909	0.8629361376376434	00000000-0001-0000-0018-000110365521	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.
44925	0.7486983091694618	00000000-0001-0000-0018-000110365637	"Вам необходимо открепить карту от своего номера. Для этого необходимо направить заявление на открепление карты ОЗВУЧИТЬ НЕСКОЛЬКО ВАРИАНТОВ:•	через мессенджер Viber;•	через форму ОС на сайте gpnbonus.ru;•	с помощью онлайн консультанта на сайте;•	с помощью онлайн консультанта в МП;•	отправив заполненное заявление на адрес электронной почты hl@gpnbonus.ru;•	оставив письменное заявление оператору АЗС.В заявлении на открепление карты должны быть указан номер карты и Ваш номер телефона."	"•         через мессенджер Viber;
•         через форму ОС на сайте gpnbonus.ru;
•         отправив заполненное заявление на адрес электронной почты hl@gpnbonus.ru;
•         оставив письменное заявление оператору АЗС.
В заявлении на открепление карты должны быть указан номер картыы и Ваш номер телефона.
"
44934	0.8629361376376434	00000000-0001-0000-0018-000110365918	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.
44935	0.9727914366278566	00000000-0001-0000-0018-000110365918	Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете, на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».	Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».
44936	0.7225017604997985	00000000-0001-0000-0018-000110365918	Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете, на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».	В Вашем личном кабинете на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль». 
44973	0.8127982558090481	00000000-0001-0000-0018-000110366533	APPLE PAY: Если заказ был отменен, то денежные средства будут возвращены на ваш счет. Сроки возврата необходимо уточнить в банке, выпустившем Вашу банковскую карту.БАНКОВСКАЯ КАРТА: Если заказ был отменен, то деньги, зарезервированные к оплате, будут разблокированы на Вашем счете. Сроки разблокировки денег необходимо уточнить в банке, выпустившем Вашу банковскую карту.	Если заказ был отменен, то деньги, зарезервированные к оплате, будут разблокированы на Вашем счете. Сроки разблокировки денег необходимо уточнить в банке, выпустивший Вашу банковскую карту.
45000	0.8629361376376434	00000000-0001-0000-0018-000110367052	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	"Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.

"
45001	0.9727914366278566	00000000-0001-0000-0018-000110367052	Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете, на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».	"Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».

"
45055	0.9354589542398618	00000000-0001-0000-0018-000110368035	Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете, на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».	Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете, в разделе «Начисления» и в разделе «Мой профиль».
45062	0.7955462252039439	00000000-0001-0000-0018-000110368126	"Мобильное приложение – собственная разработка компании «Газпром нефть». С его помощью Вы можете оплачивать топливо на АЗС «Газпромнефть» со своего смартфона. На АЗС с помощью приложения можно: ●	Выбрать колонку; ●	Выбрать вид топлива, количество литров или сумму; ●	Оплатить заказ с помощью банковской карты, Apple Pay или бонусами программы лояльности “Нам по пути”. Сервис Google Pay на данный момент находится в разработке. После заправки Вы получаете информацию о заказе и фискальный чек на электронный адрес Вашей почты, указанный в профиле.  За пределами АЗС Вы можете ●	Просматривать АЗС на карте; ●	Просматривать цены на выбранное топливо; ●	Редактировать свой профиль: добавить в него номер телефона, адрес электронной почты, привязать банковские карты, зарегистрироваться в акции “МИР”, выбрать карту лояльности “Нам по пути” по умолчанию для начисления бонусов; ●	Просматривать историю заказов; ●	Просматривать баланс бонусной карты “Нам по пути”."	"Мобильное приложение – собственная разработка компании «Газпром нефть». С его помощью Вы можете оплачивать топливо на АЗС «Газпромфнеть» со своего смартфона.
На АЗС с помощью приложения можно:
●	Выбрать колонку;
●	Выбрать вид топлива, количество литров или сумму;
●	Оплатить заказ с помощью банковской карты Apple Pay. Сервис Google Pay на данный момент недоступен в приложении.
После заправки Вы получаете информацию о заказе и фискальный чек на электронный адрес Вашей почты, указанный в профиле.

За пределами АЗС Вы можете
●	Просматривать АЗС на карте;
●	Просматривать цены на выбранное топливо;
●	Редактировать свой профиль: добавить в него номер телефона, адрес электронной почты, привязать банковские карты, указать любимые типы топлива и объем бака своего автомобиля;
●	Просматривать историю заказов.
"
45063	0.9587187398714785	00000000-0001-0000-0018-000110368126	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС GО: 1.	Остановитесь у свободной топливно-раздаточной колонки 2.	В приложении выберите АЗС, на которой находитесь. 3.	Укажите номер колонки, наименование топлива и объем 4.	Укажите эл. почту для получения чека об оплате 5.	Оплатите заказ 6.	Дождитесь завершения обработки заказа 7.	Не снимайте пистолет до указания помощника в приложении 8.	После одобрения помощником вставьте пистолет в бак автомобиля 9.	Дождитесь окончания заправки и верните пистолет в бак"	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС.GО:
1.	Остановитесь у свободной топливно-раздаточной колонки
2.	В приложении выберите АЗС, на которой находитесь.
3.	Укажите номер колонки, наименование топлива и объем
4.	Укажите эл. почту для получения чека об оплате
5.	Оплатите заказ
6.	Дождитесь завершения обработки заказа
7.	До указания помощника в приложении не снимать пистолет
8.	После одобрения помощником вставьте пистолет в бак автомобиля
9.	Дождитесь окончания заправки и верните пистолет в бак
"
45070	0.9646564419066137	00000000-0001-0000-0018-000110368358	Чек приходит на адрес электронной почты, указанный в Вашем профиле. Также Вы можете найти его в истории заказов, для этого Вам необходимо обновить приложение до последней версии.	Чек приходит на адрес электронной почты, указанный в Вашем профиле. Также Вы можете найти его в истории заказов, для этого Вам необходимо обновить приложение до последней версии.
45095	0.9747003277305688	00000000-0001-0000-0018-000110368746	Да, фискальный чек, полученный на электронную почту, по составу реквизитов и содержанию информации полностью отвечает требованиям 54-ФЗ «О применении контрольно-кассовой техники при осуществлении расчетов в Российской Федерации».Этот чек является бланком строгой отчетности и параллельно отправляется в налоговый орган через оператора фискальных данных.	"Да, фискальный чек, полученный на электронную почту, по составу реквизитов и содержанию информации полностью отвечает требованиям 54-ФЗ «О применении контрольно-кассовой техники при осуществлении расчетов в Российской Федерации».
Этот чек является бланком строгой отчетности и параллельно отправляется в налоговый орган через оператора фискальных данных.
"
45148	0.7637880076548983	05fcca2e-6912-476a-93fb-89025c77090a	Бесплатное приложение «Сеть АЗС «Газпромнефть» обеспечивает возможность самостоятельно управлять бонусным счетом карты лояльности «Нам По Пути», находить АЗС на карте и строить маршрут к выбранной АЗС, оценивать качество обслуживания на АЗС, отслеживать акции и предложения, а также быть в курсе цен на топливо на каждой АЗС и производить оплату топлива со своего смартфона. Дополнительно, можно воспользоваться услугами партнеров. ПОДРОБНЕЕ: - Контроль за бонусным балансом и статусом Вашей карты лояльности; - Управление бонусным счетом карты в любое удобное время; - Детализация расходов в подробном списке покупок; - Оплата топлива из приложения; - Просмотр АЗС в удобном формате: на карте или списком; - Построение маршрута к необходимой АЗС; - Просмотр детальной информации о каждой АЗС (адрес, расстояние до АЗС от текущего местоположения, виды реализуемых нефтепродуктов и доступных услуг, карта проезда); - Добавление АЗС в список избранных для еще более удобной навигации. - Оценка АЗС после совершения покупки (НЕ обязательна); - Раздел с актуальными акциями и предложениями; - Счетчик суммы до подтверждения статуса карты; - Информация о вашем профиле: Вы можете редактировать контактные данные, персональные данные, а также подписку на рассылки прямо в мобильном приложении. - объединение карт,активированных с одного номера телефона	"Бесплатное приложение «Сеть АЗС «Газпромнефть» обеспечивает возможность самостоятельно управлять бонусным счетом карты лояльности «Нам По Пути», находить АЗС на карте и строить маршрут к выбранной АЗС, оценивать качество обслуживания на АЗС, а также всегда быть в курсе актуальных акций и предложений: 
- Контроль за бонусным балансом и статусом Вашей карты лояльности;
- Управление бонусным счетом карты в любое удобное время;
- Детализация расходов в подробном списке покупок;
- Самостоятельная блокировка и разблокировка карты лояльности;
- Просмотр АЗС в удобном формате: на карте или списком;
- Построение маршрута к необходимой АЗС;
- Просмотр детальной информации о каждой АЗС (адрес, расстояние до АЗС от текущего местоположения, виды реализуемых нефтепродуктов и доступных услуг, карта проезда);
- Добавление АЗС в список избранных для еще более удобной навигации.
- Оценка АЗС после совершения покупки (НЕ обязательна);
- Раздел с актуальными акциями и предложениями.
- В приложение на Android добавлен счетчик суммы до подтверждения статуса карты, процента скидки по карте, показ двух ближайших АЗС в виджете."
45158	0.8127982558090481	00000000-0001-0000-0018-000110369448	APPLE PAY: Если заказ был отменен, то денежные средства будут возвращены на ваш счет. Сроки возврата необходимо уточнить в банке, выпустившем Вашу банковскую карту.БАНКОВСКАЯ КАРТА: Если заказ был отменен, то деньги, зарезервированные к оплате, будут разблокированы на Вашем счете. Сроки разблокировки денег необходимо уточнить в банке, выпустившем Вашу банковскую карту.	"Если заказ был отменен, то деньги, зарезервированные к оплате, будут разблокированы на Вашем счете. Сроки разблокировки денег необходимо уточнить в банке, выпустивший Вашу банковскую карту.

"
45172	0.9566056493330918	00000000-0001-0000-0018-000110369796	Да, кэшбэк будет начислен. Дело в том, что система расчета может отпускать топливо на суммы только кратно литражу топлива. Минимальное количество топлива, которое может отпустить колонка, равна 10 мл, поэтому заливается литраж кратный 10мл. Также, программное обеспечение настроено таким образом, что заправка не может быть произведена на большую сумму, чем Вы оплатили.	"Кэшбэк будет начислен. Дело в том, что система расчета может отпускать топливо на суммы только кратно литражу топлива. Минимальное количество топлива, которое может отпустить колонка, равна 10 мл, поэтому заливается литраж кратный 10мл. Также, программное обеспечение настроено таким образом, что заправка не может быть произведена на большую сумму, чем Вы оплатили.

"
45174	0.9124967938715962	00000000-0001-0000-0018-000110369800	Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке-эмитенте Вашей карты.	Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке, выпустившей карту клиента.
45175	0.8629361376376434	00000000-0001-0000-0018-000110369800	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	"Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.

"
45176	0.9727914366278566	00000000-0001-0000-0018-000110369800	Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете, на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».	"Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».

"
45181	0.8629361376376434	00000000-0001-0000-0018-000110369853	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.
45184	0.7789013066835668	00000000-0001-0000-0018-000110369860	Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке-эмитенте Вашей карты.	Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке, выпустившей карту клиента.
45186	0.9124967938715962	00000000-0001-0000-0018-000110369942	Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке-эмитенте Вашей карты.	Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке, выпустившей карту клиента.
45201	0.9587187398714785	00000000-0001-0000-0018-000110370042	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС GО: 1.	Остановитесь у свободной топливно-раздаточной колонки 2.	В приложении выберите АЗС, на которой находитесь. 3.	Укажите номер колонки, наименование топлива и объем 4.	Укажите эл. почту для получения чека об оплате 5.	Оплатите заказ 6.	Дождитесь завершения обработки заказа 7.	Не снимайте пистолет до указания помощника в приложении 8.	После одобрения помощником вставьте пистолет в бак автомобиля 9.	Дождитесь окончания заправки и верните пистолет в бак"	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС.GО:
1.	Остановитесь у свободной топливно-раздаточной колонки
2.	В приложении выберите АЗС, на которой находитесь.
3.	Укажите номер колонки, наименование топлива и объем
4.	Укажите эл. почту для получения чека об оплате
5.	Оплатите заказ
6.	Дождитесь завершения обработки заказа
7.	До указания помощника в приложении не снимать пистолет
8.	После одобрения помощником вставьте пистолет в бак автомобиля
9.	Дождитесь окончания заправки и верните пистолет в бак
"
45202	0.9124967938715962	00000000-0001-0000-0018-000110370042	Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке-эмитенте Вашей карты.	Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке, выпустившей карту клиента.
45247	0.8629361376376434	00000000-0001-0000-0018-000110370529	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.
45290	0.8629361376376434	00000000-0001-0000-0018-000110371160	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.
45316	0.8201141017102208	00000000-0001-0000-0018-000110371425	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС GО: 1.	Остановитесь у свободной топливно-раздаточной колонки 2.	В приложении выберите АЗС, на которой находитесь. 3.	Укажите номер колонки, наименование топлива и объем 4.	Укажите эл. почту для получения чека об оплате 5.	Оплатите заказ 6.	Дождитесь завершения обработки заказа 7.	Не снимайте пистолет до указания помощника в приложении 8.	После одобрения помощником вставьте пистолет в бак автомобиля 9.	Дождитесь окончания заправки и верните пистолет в бак"	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС Go:
1.	Остановитесь у свободной топливно-раздаточной колонки
2.	В приложении выберите АЗС, на которой находитесь.
3.	Укажите номер колонки, наименование топлива и объем
4.	Оплатите заказ
5.	Дождитесь завершения обработки заказа и вставьте пистолет в банк автомобиля
6.	Дождитесь окончания заправки и верните пистолет в бак"
45318	0.8629361376376434	00000000-0001-0000-0018-000110371451	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.
45358	0.9566056493330918	00000000-0001-0000-0018-000110372181	Да, кэшбэк будет начислен. Дело в том, что система расчета может отпускать топливо на суммы только кратно литражу топлива. Минимальное количество топлива, которое может отпустить колонка, равна 10 мл, поэтому заливается литраж кратный 10мл. Также, программное обеспечение настроено таким образом, что заправка не может быть произведена на большую сумму, чем Вы оплатили.	Кэшбэк будет начислен. Дело в том, что система расчета может отпускать топливо на суммы только кратно литражу топлива. Минимальное количество топлива, которое может отпустить колонка, равна 10 мл, поэтому заливается литраж кратный 10мл. Также, программное обеспечение настроено таким образом, что заправка не может быть произведена на большую сумму, чем Вы оплатили. 
45365	0.8629361376376434	00000000-0001-0000-0018-000110372303	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	"Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.

"
45366	0.9727914366278566	00000000-0001-0000-0018-000110372303	Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете, на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».	Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».
45373	0.6146804622911209	00000000-0001-0000-0018-000110372357	Назовите, пожалуйста, номер Вашей бонусной карты, я проверю информацию	Сообщите, пожалуйста, номер Вашей бонусной карты без пробелов.
45421	0.8629361376376434	00000000-0001-0000-0018-000110372851	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.
45454	0.8629361376376434	00000000-0001-0000-0018-000110373287	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.
45455	0.9727914366278566	00000000-0001-0000-0018-000110373287	Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете, на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».	Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».
45483	0.7064383819746713	00000000-0001-0000-0018-000110373848	iOS Для входа в мобильное приложение используйте пароль к Личному кабинету на сайте www.gpnbonus.ru. Если Вы еще не регистрировались в Личном кабинете, запросите временный пароль при первом входе. Android Для входа в мобильное приложение используйте номер телефона, привязанный к карте «Нам по пути». Код для входа придет на указанный Вами номер телефона. 	"Для входа в мобильное приложение используйте номер телефона, привязанный к карте «Нам по пути». Код для входа придет на указанный Вами номер телефона. 

"
45491	0.7831017846462207	00000000-0001-0000-0018-000110373925	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	"Как правило, денежное вознаграждение зачисляется на карту ""МИР"" в течение 3 рабочих дней с момента проведения оплаты покупки по счету."
45495	0.9124967938715962	00000000-0001-0000-0018-000110374059	Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке-эмитенте Вашей карты.	Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке, выпустившей карту клиента.
45528	0.8127982558090481	00000000-0001-0000-0018-000110374446	APPLE PAY: Если заказ был отменен, то денежные средства будут возвращены на ваш счет. Сроки возврата необходимо уточнить в банке, выпустившем Вашу банковскую карту.БАНКОВСКАЯ КАРТА: Если заказ был отменен, то деньги, зарезервированные к оплате, будут разблокированы на Вашем счете. Сроки разблокировки денег необходимо уточнить в банке, выпустившем Вашу банковскую карту.	Если заказ был отменен, то деньги, зарезервированные к оплате, будут разблокированы на Вашем счете. Сроки разблокировки денег необходимо уточнить в банке, выпустивший Вашу банковскую карту.
